state,electoral votes,turnout,population
AL,9,2070000,3540000
AK,3,302000,512000
AZ,11,2320000,4390000
AR,6,1080000,2110000
CA,55,13200000,23700000
CO,9,2600000,3680000
CT,7,1560000,2540000
DE,3,414000,664000
DC,3,294000,478000
FL,29,8540000,13500000
GA,16,3920000,6610000
HI,4,437000,983000
ID,4,666000,1090000
IL,20,5280000,8900000
IN,11,2660000,4760000
IA,6,1590000,2250000
KS,6,1180000,2030000
KY,8,1820000,3230000
LA,8,2010000,3310000
ME,4,725000,1050000
MD,10,2730000,4060000
MA,11,3180000,4810000
MI,16,4780000,7310000
MN,10,2950000,3860000
MS,6,1290000,2170000
MO,10,2760000,4430000
MT,3,492000,774000
NE,5,804000,1320000
NV,6,1020000,1800000
NH,4,719000,1010000
NJ,14,3680000,5920000
NM,5,787000,1440000
NY,29,7130000,13300000
NC,15,4540000,6950000
ND,3,326000,539000
OH,18,5630000,8650000
OK,7,1330000,2710000
OR,7,1820000,2840000
PA,20,5740000,9650000
RI,4,446000,769000
SC,9,1980000,3490000
SD,3,368000,613000
TN,11,2480000,4740000
TX,38,7990000,16100000
UT,6,1030000,1830000
VT,3,302000,493000
VA,13,3890000,5830000
WA,12,3170000,4820000
WV,5,670000,1450000
WI,10,3080000,4210000
WY,3,251000,425000
